Estacion,Marea,Transecto,Sector,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,NID,NP,IE,IE PO4,TSI_Clor,TSI_SECCHI,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_max
A01,Alta,Amarales,Oceanico,0.06,0.38,0.13,8.41,0.85,48.4,31.4,8.29,7.73,13,49.85,0.43,3.3,2.03,1.64,29,23,23.62930559,33.35830769,4.429786014,1022.588478,72
A01,Baja,Amarales,Oceanico,0.2,0.66,0.06,24.29,1.7,45.5,29.3,8.25,7.52,4,14.67,0.86,15.18,2.2,1.6,36,40,24.92592662,32.63176475,4.776714815,1021.661907,70
A02,Alta,Amarales,Oceanico,0.13,0.7,0.06,11.22,0.83,48.2,31.3,8.26,7.41,8.5,24,0.83,14.66,2.2,1.56,29,29,24.76540642,32.85191927,4.505586239,1021.838027,55
A02,Baja,Amarales,Oceanico,0.27,0.46,0.13,16.76,1.86,45.6,29.5,8.25,7.19,5.5,18.25,0.73,5.6,2.2,1.7,37,35,26.76078627,31.96904314,5.174452632,1020.576785,51.5
A03,Alta,Amarales,Oceanico,0.49,1.51,0.24,25.38,0.5,48,31,8.28,7.81,2.5,17.3,2,8.47,2.56,1.72,24,47,26.30746849,32.37416849,4.893904167,1021.008955,37
A03,Baja,Amarales,Oceanico,0.56,1.06,0.23,19.84,1.6,45.1,28.9,8.23,6.48,2,28,1.61,7.13,2.4,1.8,35,50,27.41294627,31.00572687,5.165771212,1019.643443,34
A04,Alta,Amarales,Costero,0.15,0.47,0.19,8.32,0.5,47.9,30.8,8.23,7.58,6,23.05,0.62,3.19,2.12,1.69,24,34,27.68518519,31.74971111,5.080813636,1020.08727,14
A04,Baja,Amarales,Costero,0.5,1.06,0.33,17.21,1.5,43.2,27.4,8.2,6.39,2,28.3,1.56,4.69,2.4,1.9,35,50,27.82998696,30.87352609,5.162738889,1019.386461,12
A05,Alta,Amarales,Costero,0.54,1.13,0.26,19.21,0.57,44.4,28.3,8.16,6.84,1.6,25.85,1.66,6.46,2.46,1.74,25,53,27.52813333,29.577175,4.866225,1018.513267,6.5
A05,Baja,Amarales,Costero,0.64,1.24,0.37,20.3,3,42,26.7,8.19,6.31,1.5,35.95,1.88,5.02,2.5,1.9,41,54,27.6894875,28.74825,4.947025,1017.81985,4.5
A06,Alta,Amarales,Costero,0.77,1.17,0.38,25.2,4.6,43.2,27.4,8.14,6.33,1.8,37.75,1.94,5.04,2.55,1.83,46,52,27.6167087,28.6799087,4.697177273,1017.806117,12
A06,Baja,Amarales,Costero,0.92,1,0.2,28.01,4.73,40.4,25.8,8.16,6.16,2,49.9,1.92,9.37,2.5,1.8,46,50,27.71968,25.78039,4.862714286,1015.58935,5.5
G01,Alta,Guascama,Oceanico,0.05,0.27,0.06,5.41,0.79,48.9,31.8,8.21,8.06,7,20.6,0.33,5.77,1.98,1.56,28,32,22.99051256,33.78077343,4.642200483,1023.188891,104
G01,Baja,Guascama,Oceanico,0.11,1,0.13,24.02,1.57,42.6,27.2,8.24,7.6,2.5,27.85,1.12,8.55,2.3,1.7,35,47,22.40481298,33.43946442,4.344801471,1023.059893,104.5
G02,Alta,Guascama,Oceanico,0.09,1.03,0.13,14.58,0.74,48.7,31.6,8.22,7.63,3.5,21.85,1.12,8.54,2.29,1.64,28,42,24.57066582,25.37596962,6.816074051,1016.368427,79.5
G02,Baja,Guascama,Oceanico,0.28,2,0.23,33.27,1.47,42.3,27,8.18,7.25,1.2,34.9,2.28,10.09,2.3,1.6,34,57,23.9296039,32.93914416,4.513569935,1022.161305,77.5
G03,Alta,Guascama,Oceanico,0.13,1.54,0.2,12.58,0.69,48.8,31.6,8.24,7.29,6,27.2,1.67,8.15,2.47,1.7,27,34,24.86211207,33.17633707,4.95712087,1022.077059,58.5
G03,Baja,Guascama,Oceanico,0.23,2.15,0.34,32.55,0.94,42.6,27.2,8.16,6.84,1,37.1,2.38,6.96,2.5,1.7,30,60,25.64994825,32.69938772,4.88554955,1021.462261,57.5
G04,Alta,Guascama,Costero,0.05,0.36,0.13,3.51,0.32,48.7,31.6,8.18,7.19,1.8,24.1,0.41,3.1,2.02,1.64,20,52,27.76434615,30.07826154,5.053484615,1018.817808,7
G04,Baja,Guascama,Costero,0.32,4.09,0.32,78.47,1.34,30.2,18.5,7.95,6.48,0.8,50.38,4.41,13.73,2.9,1.9,33,63,27.37267143,18.19117143,4.563416667,1010.012943,4
G05,Alta,Guascama,Costero,0.1,0.7,0.23,11.58,0.73,47,30.4,8.16,6.78,0.8,34.95,0.8,3.55,2.19,1.72,28,63,27.78103636,30.09862727,5.148483333,1018.823836,6
G05,Baja,Guascama,Costero,0.33,3.98,0.35,71.3,1.57,32.1,19.3,7.96,6.06,0.8,72,4.31,12.2,2.9,1.9,35,63,27.30175,19.22626667,4.391566667,1010.801767,3.5
G06,Alta,Guascama,Costero,0.15,1.15,0.42,16.85,0.86,45.5,29.3,8.14,6.62,0.6,53.53,1.3,3.13,2.35,1.85,29,67,27.71565,29.10966923,4.124172727,1018.077846,7
G06,Baja,Guascama,Costero,0.37,4.31,0.62,77.47,1.38,30.2,18.5,7.87,5.87,0.6,77,4.68,7.57,3,2,34,67,26.96105714,16.27104286,4.33565,1008.702,4
S01,Alta,Sanquianga,Oceanico,0.05,0.36,0.11,11.4,1.13,48.4,31.4,8.22,7.66,10.5,16.3,0.41,3.7,2.02,1.62,32,26,22.35262727,33.51865682,4.248476023,1023.091206,88.5
S01,Baja,Sanquianga,Oceanico,0.06,0.19,0.09,6.86,0.81,44.7,28.5,8.22,7.05,8.5,18.12,0.25,2.81,2,1.7,29,29,23.47327386,33.29877386,4.444955114,1022.630079,88.5
S02,Alta,Sanquianga,Oceanico,0.07,0.6,0.1,10.95,1.07,47.9,30.8,8.21,7.37,5,19.95,0.67,6.76,2.14,1.61,31,37,22.90127838,33.43121007,4.326357042,1022.871029,75
S02,Baja,Sanquianga,Oceanico,0.07,0.36,0.06,10.04,0.84,44.4,28.2,8.17,6.93,6,31.3,0.43,7.64,2.1,1.6,29,34,24.91419167,32.89403194,4.820337956,1021.864644,72.5
S03,Alta,Sanquianga,Oceanico,0.11,0.64,0.19,10.77,0.75,46.7,30,8.19,7.04,2.5,27.15,0.75,3.86,2.17,1.69,28,47,24.01287879,33.07607576,4.676005344,1022.241899,66.5
S03,Baja,Sanquianga,Oceanico,0.45,1.21,0.36,27.28,1.23,43.5,27.7,8.12,6.29,0.9,35.8,1.66,4.56,2.4,1.9,33,62,24.6816623,32.54890082,4.787365,1021.655186,61.5
S04,Alta,Sanquianga,Costero,0.09,0.87,0.33,12.67,0.73,46.6,30,8.16,6.85,2.5,22.6,0.96,2.89,2.24,1.79,28,47,27.87352444,31.65571333,5.35474186,1019.975253,23
S04,Baja,Sanquianga,Costero,0.69,2.17,0.35,42.35,2.39,39.4,24.8,8.1,5.91,0.75,42.1,2.85,8.08,2.7,1.9,39,64,27.75550769,29.70898718,4.970117647,1018.546723,20
S05,Alta,Sanquianga,Costero,0.06,0.53,0.14,9.41,1.14,42.6,27.2,8.12,6.7,2.5,77.75,0.6,4.33,2.11,1.65,32,47,27.91612381,30.45536667,5.273404762,1019.028724,11
S05,Baja,Sanquianga,Costero,0.84,1.49,0.91,45.98,3.64,37.5,23.6,8.04,5.6,1,87.55,2.33,2.56,2.6,2.2,43,60,27.39166875,25.5832375,4.208971429,1015.559313,8.5
S06,Alta,Sanquianga,Costero,0.25,2.28,0.25,44.44,1.57,38.3,24.1,8.03,6.12,2.5,160.97,2.53,9.94,2.71,1.74,35,47,28.1474125,26.67130833,4.8573375,1016.1364,12.5
S06,Baja,Sanquianga,Costero,0.73,2.46,0.47,44.98,4.99,35.7,22.3,8.02,5.41,1,188.05,3.19,6.85,2.7,1.9,46,60,27.36917586,23.5722931,4.281961538,1014.083779,15
