,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,NA,NA,NA,NA
OD,12.4,8.86E-05,0.00452086,3.785489382,0.188389177,0.030153463,0.883759303,0.894627891,6.453889221,2.481961738,3.497355206,19.4732176,15.22437808,28.86088211,2.242555294,3.611663648,0.000716529
pH,10.3,1.826985683,7.905290518,0.152268141,0.042220185,1.448163833,0.996808928,3.499023321,6.789158532,4.36689921,6.719363389,12.524818,0.838784294,37.08613405,3.140311799,2.334524689,0.000757756
SST,9.2,2.261192734,1.853729964,1.323260022,0.001615935,10.48103647,0.145473782,10.948833,1.63051637,24.81323343,17.75933815,0.823258326,0.254339942,3.274108126,12.88816426,2.379656601,0.000230822
SiO2,8.4,8.916709465,4.800051824,0.000110603,0.106216876,1.951890441,0.095470479,3.551142823,5.386976677,4.616689564,0.52405687,5.349836822,0.185827911,0.236704883,7.330182639,48.50072477,0.008516958
PO4,7.8,0.933319033,4.080068158,8.263030119,1.934944607,2.10900223,14.8943686,0.095658761,29.77502737,0.424378511,1.458910405,18.26037066,9.114023713,0.258837965,0.12955442,0.448909014,0.000599416
Clorofila,7.3,0.373238728,11.43869842,2.46640706,1.550576296,13.05057048,0.923524352,4.481591243,14.47461071,2.504848269,4.087848789,10.28581596,24.02256497,0.173032461,1.825836044,1.054666952,0.000265292
Densidad,6.8,7.07727376,0.005910219,13.43236249,0.638910647,5.513070117,11.99249753,1.556742113,0.654094274,0.659613251,0.765564346,1.076608639,0.01025987,0.098348222,0.037990784,0.188198485,49.49226985
Salinidad,6.7,7.329685195,0.062579669,13.93846026,0.43533709,6.007854009,10.57985104,1.308488142,0.579937016,0.614357471,0.809086457,1.078461886,0.00741098,0.090153315,0.045203224,0.032369964,50.41409532
Transparencia,6.4,0.214967312,0.247203205,6.783802522,5.908041125,14.94786923,12.4563608,21.44878252,5.925104909,13.21429613,0.720486407,0.201072578,7.952494097,2.768468441,0.484495623,0.290754798,2.26E-05
NO2,6.1,2.136435125,19.18230619,3.948160117,3.563950183,4.024777635,0.461814481,4.725595358,2.941977528,2.171310041,15.35350978,0.657465593,21.82565342,5.083809994,7.774385321,0.011131726,0.000173603
NO3,6.1,11.14561256,9.381347298,0.005963742,0.137166844,2.044690666,0.230826174,8.391874711,7.559973339,0.030359027,1.830659286,1.73283748,0.026753382,18.64791547,15.97390161,16.71743334,0.008089706
DensidadFito,5.4,4.768527333,6.47543763,3.165221878,0.043667372,20.12685515,9.657405842,10.19480954,4.285145414,2.061418266,0.889801618,0.952042286,9.483797696,0.976207418,16.12383133,5.371295102,0.000741104
q0,4.8,16.73369879,0.02319331,1.717699595,2.183284604,4.47E-05,8.254532159,0.029963012,1.373820099,13.0608485,8.391722292,21.87700732,7.30570155,0.174877308,7.110997482,7.009910607,0.001589116
PesoHum500,1.9,7.89973194,6.180805431,13.24794898,18.36687923,5.599269161,0.147804127,0.078233986,0.843564032,11.27734189,23.85440723,3.824168252,1.983620981,0.493136335,3.442448387,0.858480485,0.000190812
Temperatura,0.2,2.051014187,19.14288324,9.849863996,16.82662947,11.73908767,23.33339499,10.54341478,0.866671107,0.998709193,0.073034336,0.226591205,0.26263158,0.037884598,2.11254466,1.696452623,0.069823667
q1,0.1,7.541474698,3.040036761,9.505324372,38.5344407,0.900264075,0.000674665,17.70474148,1.294203737,0.641743675,5.771644541,0.844452575,0.133609635,0.190840841,9.020253213,4.777442797,0.001807537
PesoHum300,0.1,18.79004484,6.1759373,8.414626724,9.537729669,0.02540064,4.945432751,0.54647733,9.165329661,16.06199183,7.493210905,0.811974833,1.368147894,1.548658452,10.3173439,4.716384402,0.000109903
