Latitude,Longitude,Resultado,Estacion
2.8493,-78.2226,-,A01A
2.8493,-78.2226,-,A01B
2.81677,-78.2225,-,A02A
2.81677,-78.2225,-,A02B
2.78422,-78.2225,1,A03A
2.78422,-78.2225,-,A03B
2.75167,-78.2224,1,A04A
2.75167,-78.2224,-,A04B
2.71912,-78.2224,1,A05A
2.71912,-78.2224,-,A05B
2.68657,-78.2224,1,A06A
2.68657,-78.2224,-,A06B
2.78403,-78.4005,1,G01A
2.78403,-78.4005,1,G01B
2.7515,-78.4005,1,G02A
2.7515,-78.4005,1,G02B
2.71895,-78.4004,1,G03A
2.71895,-78.4004,1,G03B
2.6864,-78.4004,1,G04A
2.6864,-78.4004,1,G04B
2.65385,-78.4004,1,G05A
2.65385,-78.4004,0,G05B
2.6213,-78.4003,1,G06A
2.6213,-78.4003,1,G06B
2.83294,-78.3197,-,S01A
2.83294,-78.3197,-,S01B
2.8004,-78.3196,-,S02A
2.8004,-78.3196,-,S02B
2.76785,-78.3196,0,S03A
2.76785,-78.3196,0,S03B
2.7353,-78.3195,1,S04A
2.7353,-78.3195,1,S04B
2.70275,-78.3195,1,S05A
2.70275,-78.3195,1,S05B
2.6702,-78.3195,1,S06A
2.6702,-78.3195,0,S06B
