occurrenceID,institutionCode,institutionID,datasetName,language,license,rightsHolder,accessRights,ownerInstitutionCode,recordNumber,recordedBy,organismQuantityType,occurrenceStatus,occurrenceRemarks,parentEventID,eventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,year,month,day,verbatimEventDate,eventTime,habitat,fieldNumber,fieldNotes,locationID,higherGeography,higherGeographyID,continent,waterBody,country,countryCode,stateProvince,county,minimumElevationInMeters,maximumElevationInMeters,verticalDatum,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,verbatimLatitude,verbatimLongitude,verbatimCoordinates,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,georeferencedBy,georeferencedDate,identifiedBy,identifiedByID,dateIdentified,verbatimIdentification,scientificName,scientificNameAuthorship,taxonID,scientificNameID,higherClassification,kingdom,phylum,class,order,genus,taxonRank
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0208-01,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0208,Fredy A. CastrillónValencia,100mL,absent,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S06MB:2021:01,Botella Niskin,1,L,Toma superficial,2021-04-29,2021,4,29,2021-04-29,10:33:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.6702,-78.3195,"2,6702, -78,3195",Grados decimales,EPSG: 4326,2.6702,-78.3195,EPSG:4326,Fredy A. CastrillónValencia,2021-04-29,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-04-30,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0212-02,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0212,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S05MB:2021:02,Botella Niskin,1,L,Toma superficial,2021-04-29,2021,4,29,2021-04-29,11:18:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.7028,-78.3195,"2,7028, -78,3195",Grados decimales,EPSG: 4326,2.7028,-78.3195,EPSG:4326,Fredy A. CastrillónValencia,2021-04-29,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-04-30,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0216-03,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0216,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S06MA:2021:03,Botella Niskin,1,L,Toma superficial,2021-04-29,2021,4,29,2021-04-29,16:23:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.6702,-78.3195,"2,6702, -78,3195",Grados decimales,EPSG: 4326,2.6702,-78.3195,EPSG:4326,Fredy A. CastrillónValencia,2021-04-29,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-04-30,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0219-04,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0219,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S05MA:2021:04,Botella Niskin,1,L,Toma superficial,2021-04-29,2021,4,29,2021-04-29,17:09:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.7028,-78.3195,"2,7028, -78,3195",Grados decimales,EPSG: 4326,2.7028,-78.3195,EPSG:4326,Fredy A. CastrillónValencia,2021-04-29,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-04-30,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0222-05,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0222,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S04MA:2021:05,Botella Niskin,1,L,Toma superficial,2021-04-30,2021,4,30,2021-04-30,6:38:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.7353,-78.3195,"2,7353, -78,3195",Grados decimales,EPSG: 4326,2.7353,-78.3195,EPSG:4326,Fredy A. CastrillónValencia,2021-04-30,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-01,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0225-06,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0225,Fredy A. CastrillónValencia,100mL,absent,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S03MA:2021:06,Botella Niskin,1,L,Toma superficial,2021-04-30,2021,4,30,2021-04-30,7:05:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.7679,-78.3196,"2,7679, -78,3196",Grados decimales,EPSG: 4326,2.7679,-78.3196,EPSG:4326,Fredy A. CastrillónValencia,2021-04-30,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-01,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0228-07,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0228,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S04MB:2021:07,Botella Niskin,1,L,Toma superficial,2021-04-30,2021,4,30,2021-04-30,11:59:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.7353,-78.3195,"2,7353, -78,3195",Grados decimales,EPSG: 4326,2.7353,-78.3195,EPSG:4326,Fredy A. CastrillónValencia,2021-04-30,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-01,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0232-08,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0232,Fredy A. CastrillónValencia,100mL,absent,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:S03MB:2021:08,Botella Niskin,1,L,Toma superficial,2021-04-30,2021,4,30,2021-04-30,12:40:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.7679,-78.3196,"2,7679, -78,3196",Grados decimales,EPSG: 4326,2.7679,-78.3196,EPSG:4326,Fredy A. CastrillónValencia,2021-04-30,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-01,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0236-09,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0236,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:G06MA:2021:09,Botella Niskin,1,L,Toma superficial,2021-05-01,2021,5,1,2021-05-01,6:42:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.6213,-78.4003,"2,6213, -78,4003",Grados decimales,EPSG: 4326,2.6213,-78.4003,EPSG:4326,Fredy A. CastrillónValencia,2021-05-01,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-02,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0239-10,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0239,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:G05MA:2021:10,Botella Niskin,1,L,Toma superficial,2021-05-01,2021,5,1,2021-05-01,7:09:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.6539,-78.4004,"2,6539, -78,4004",Grados decimales,EPSG: 4326,2.6539,-78.4004,EPSG:4326,Fredy A. CastrillónValencia,2021-05-01,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-02,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
CCCP:CB-CCCP:MicroorganismoslEXP.PACÍFICO-SP-21-0242-11,Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP),ColombiaNIT:840.000.101-3,EXP.Pacifico_2021,es,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License,Dirección General Marítima (DIMAR),Sólo para uso no comercial citando la fuente,Dirección General Marítima (DIMAR),SP-21-0242,Fredy A. CastrillónValencia,100mL,present,Colectado en muestra de agua marina,EXP. PACÍFICO,CCCP:EXP.PACÍFICO:G04MA:2021:11,Botella Niskin,1,L,Toma superficial,2021-05-01,2021,5,1,2021-05-01,7:33:00,Porción superficial de columna de agua marina,Solicitud-17,Cadena de custodia de la solicitud 17,CO:52490,América | Sudamérica | Colombia | Región del Pacífico | Nariño | Olaya Herrera,CO:52,América del Sur,Océano Pacífico,Colombia,CO,Nariño,Olaya Herrera,0,1,epsg:4326,0,0,1,2.6864,-78.4004,"2,6864, -78,4004",Grados decimales,EPSG: 4326,2.6864,-78.4004,EPSG:4326,Fredy A. CastrillónValencia,2021-05-01,Jenny Parada,ORCID: 0000-0002-9751-1960,2021-05-02,Vibrio spp.,Vibrio,"O.F. Müller, 1773",urn:lsid:marinespecies.org:taxname:163725,urn:lsid:marinespecies.org:taxname:163725,Chromista  | Bacillariophyta | Bacillariophytina | Bacillariophyceae | Bacillariophycidae | Bacillariophycidae incertae sedis  | Vibrio ,Chromista ,Bacillariophyta ,Bacillariophyceae,Bacillariophycidae incertae sedis ,Vibrio,Genus
